State,No of  NYVs,Male Member,Female Member,General,SC,ST,OBC,10th,12th,Graduate,Post Graduate
ANDAMAN & NICOBAR ISLANDS, 24, 6, 18, 11, 0, 8, 5, 0, 19, 4, 1
ANDHRA PRADESH, 458, 314, 144, 143, 100, 31, 184, 134, 130, 159, 35
ARUNACHAL PRADESH, 200, 113, 87, 16, 1, 178, 5, 105, 51, 38, 6
ASSAM, 492, 314, 178, 210, 52, 94, 136, 67, 167, 224, 34
BIHAR, 1065, 756, 309, 448, 112, 19, 486, 161, 345, 492, 67
CHANDIGARH, 4, 1, 3, 2, 1, 0, 1, 3, 0, 1, 0
CHHATTISGARH, 243, 154, 89, 44, 25, 63, 111, 38, 86, 82, 37
DADRA & NAGAR HAVELI, 4, 3, 1, 1, 0, 2, 1, 1, 2, 1, 0
DAMAN & DIU, 8, 2, 6, 5, 0, 0, 3, 0, 3, 3, 2
DELHI, 116, 67, 49, 58, 33, 1, 24, 10, 48, 49, 9
GOA, 20, 15, 5, 11, 0, 4, 5, 3, 7, 6, 4
GUJARAT, 447, 300, 147, 176, 77, 47, 147, 107, 148, 140, 52
HARYANA, 287, 187, 100, 114, 84, 0, 89, 52, 112, 90, 33
HIMACHAL PRADESH, 162, 91, 71, 87, 39, 22, 14, 16, 52, 78, 16
"JAMMU, KASHMIR & LADAKH", 511, 258, 253, 332, 38, 100, 41, 69, 114, 137, 191
JHARKHAND, 533, 340, 193, 135, 39, 119, 240, 111, 128, 245, 49
KARNATAKA, 461, 313, 148, 98, 123, 35, 205, 119, 131, 143, 68
KERALA, 307, 192, 115, 127, 35, 3, 142, 29, 118, 127, 33
LAKSHADWEEP, 18, 12, 6, 0, 0, 18, 0, 2, 14, 1, 1
MADHYA PRADESH, 675, 478, 197, 213, 105, 81, 276, 119, 167, 301, 88
MAHARASHTRA, 671, 449, 222, 236, 145, 43, 247, 108, 175, 271, 117
MANIPUR, 129, 80, 49, 20, 4, 86, 19, 20, 24, 70, 15
MEGHALAYA, 91, 49, 42, 4, 0, 87, 0, 9, 37, 32, 13
MIZORAM, 71, 35, 36, 10, 2, 59, 0, 11, 36, 19, 5
NAGALAND, 166, 101, 65, 2, 0, 164, 0, 24, 35, 86, 21
ODISHA, 661, 472, 189, 236, 101, 109, 215, 104, 131, 385, 41
PUDUCHERRY, 35, 18, 17, 2, 17, 0, 16, 7, 4, 20, 4
PUNJAB, 316, 205, 111, 101, 170, 0, 45, 81, 120, 68, 47
RAJASTHAN, 712, 579, 133, 249, 100, 65, 298, 171, 138, 326, 77
SIKKIM, 69, 38, 31, 29, 2, 25, 13, 35, 15, 14, 5
TAMIL NADU, 726, 481, 245, 129, 181, 12, 404, 129, 153, 355, 89
TELANGANA, 194, 163, 31, 36, 36, 23, 99, 27, 45, 90, 32
TRIPURA, 81, 57, 24, 33, 16, 13, 19, 16, 23, 36, 6
UTTAR PRADESH, 1702, 1091, 611, 785, 284, 7, 626, 356, 416, 698, 232
UTTARAKHAND, 193, 112, 81, 109, 53, 6, 25, 24, 75, 70, 24
WEST BENGAL, 302, 193, 109, 163, 74, 13, 52, 55, 78, 114, 55
Total,12154 ,8039 ,4115 ,4375 ,2049 ,1537 ,4193 ,2323 ,3347 ,4975 ,1509 
